Ammonia,Benzene,CNG,CO,Hydrogen,LPG,Smoke
13.65653,9.01928,27.27833,18.59973,6.20828,12.98538,8.24402
13.65653,9.01928,27.27833,18.57215,6.19006,12.95488,8.24402
13.65653,9.01928,27.27833,18.57215,6.19006,12.98538,8.26342
13.65653,9.01928,27.27833,18.57215,6.19006,12.95488,8.24402
13.65653,9.01928,27.27833,18.59973,6.19006,12.98538,8.26342
13.65653,9.01928,27.27833,18.59973,6.20828,12.98538,8.24402
13.65653,9.01928,27.27833,18.57215,6.19006,12.98538,8.24402
13.65653,9.01928,27.27833,18.59973,6.19006,12.98538,8.24402
13.65653,9.01928,27.27833,18.59973,6.19006,12.95488,8.24402
13.65653,9.01928,27.27833,18.59973,6.20828,12.95488,8.24402
13.65653,9.01928,27.27833,18.57215,6.19006,12.98538,8.24402
13.65653,9.01928,27.27833,18.57215,6.20828,12.98538,8.26342
13.65653,9.01928,27.27833,18.57215,6.19006,12.98538,8.24402
13.65653,9.01928,27.27833,18.59973,6.20828,12.98538,8.26342
13.65653,9.01928,27.27833,18.57215,6.19006,12.95488,8.24402
13.65653,9.01928,27.27833,18.57215,6.19006,12.98538,8.24402
13.65653,9.01928,27.27833,18.57215,6.19006,12.95488,8.24402
13.65653,9.01928,27.22456,18.57215,6.19006,12.95488,8.24402
13.65653,9.01928,27.27833,18.57215,6.19006,12.95488,8.24402
0,0,0,0,0,0,0
13.53899,8.91593,27.01032,18.54456,6.06225,12.74045,8.10756
13.51538,8.8952,27.01032,18.51694,6.04396,12.70968,8.08798
13.49172,8.87444,27.01032,18.51694,6.04396,12.70968,8.08798
13.53899,8.91593,26.95697,18.51694,6.06225,12.74045,8.10756
13.49172,8.87444,27.01032,18.48931,6.04396,12.70968,8.08798
13.49172,8.87444,26.95697,18.48931,6.04396,12.70968,8.08798
13.51538,8.85367,26.95697,18.46165,6.04396,12.70968,8.08798
13.49172,8.87444,26.95697,18.46165,6.04396,12.70968,8.08798
13.49172,8.87444,26.95697,18.48931,6.04396,12.70968,8.08798
13.49172,8.87444,27.01032,18.48931,6.04396,12.70968,8.08798
13.53899,8.91593,26.95697,18.51694,6.08054,12.77119,8.12712
13.49172,8.87444,27.01032,18.48931,6.04396,12.70968,8.08798
13.49172,8.87444,27.01032,18.48931,6.02565,12.70968,8.08798
13.49172,8.87444,27.01032,18.48931,6.04396,12.70968,8.08798
13.49172,8.8952,27.01032,18.48931,6.04396,12.70968,8.08798
13.49172,8.87444,27.01032,18.46165,6.04396,12.70968,8.08798
13.49172,8.87444,27.01032,18.48931,6.04396,12.70968,8.08798
13.49172,8.87444,27.01032,18.46165,6.06225,12.74045,8.08798
13.49172,8.87444,27.01032,18.46165,6.04396,12.74045,8.10756
13.49172,8.87444,27.01032,18.46165,6.04396,12.70968,8.10756
13.49172,8.87444,27.01032,18.46165,6.04396,12.70968,8.08798
13.53899,8.91593,27.01032,18.48931,6.08054,12.77119,8.12712
13.49172,8.87444,27.01032,18.46165,6.04396,12.70968,8.08798
13.49172,8.87444,27.01032,18.46165,6.04396,12.74045,8.08798
13.49172,8.87444,27.01032,18.46165,6.04396,12.70968,8.08798
13.49172,8.8952,27.01032,18.46165,6.06225,12.74045,8.10756
13.53899,8.91593,27.01032,18.48931,6.08054,12.77119,8.12712
13.49172,8.87444,27.01032,18.46165,6.04396,12.74045,8.08798
13.49172,8.8952,27.01032,18.46165,6.04396,12.74045,8.08798
13.49172,8.87444,27.01032,18.46165,6.04396,12.74045,8.08798
13.49172,8.87444,27.01032,18.46165,6.04396,12.70968,8.08798
13.49172,8.87444,27.01032,18.46165,6.04396,12.74045,8.08798
13.49172,8.87444,27.01032,18.46165,6.04396,12.70968,8.08798
13.49172,8.87444,27.01032,18.46165,6.06225,12.74045,8.08798
13.49172,8.87444,27.01032,18.46165,6.04396,12.70968,8.08798
13.49172,8.87444,27.01032,18.46165,6.04396,12.74045,8.08798
13.49172,8.8952,27.01032,18.46165,6.04396,12.70968,8.08798
13.49172,8.87444,27.01032,18.46165,6.04396,12.74045,8.08798
13.51538,8.8952,27.01032,18.46165,6.04396,12.70968,8.08798
13.51538,8.87444,27.01032,18.46165,6.04396,12.70968,8.08798
13.51538,8.8952,27.01032,18.46165,6.04396,12.74045,8.10756
13.49172,8.87444,27.01032,18.46165,6.04396,12.70968,8.08798
13.49172,8.8952,27.01032,18.46165,6.04396,12.70968,8.10756
13.49172,8.87444,27.01032,18.46165,6.04396,12.70968,8.08798
13.53899,8.91593,26.95697,18.48931,6.08054,12.77119,8.12712
13.49172,8.8952,27.01032,18.43396,6.04396,12.70968,8.08798
